seed,model,precision,recall,f1,fpr,fnr,specificity,alert_rate,alerts_per_hour,tp,fp,fn,tn,ap,auc_roc,threshold
101,IF,0.6801428121390318,0.8493312352478364,0.7553793224094699,0.409463637585697,0.15066876475216365,0.590536362414303,0.6321274477265184,42.485311667759284,6477,3046,1149,4393,0.7563554350590875,0.7907890901951486,0.40602251085203767
101,IF_budget_top10pct,0.7763070814030444,0.15381589299763965,0.256758235744774,0.04543621454496572,0.8461841070023604,0.9545637854550343,0.10029870560902755,6.741080114458078,1173,338,6453,7101,,,0.5535852572390817
101,IF_budget_top20pct,0.7088058705803869,0.27865198006818775,0.40003765060240964,0.11735448312945289,0.7213480199318122,0.8826455168705472,0.19900431463657484,13.375088142386048,2125,873,5501,6566,,,0.5198665303457803
101,OCSVM,0.5009726973904877,0.979281405717283,0.662850042160387,1.0,0.02071859428271702,0.0,0.9895121141719216,66.50514974601361,7468,7439,158,0,0.4901717053225021,0.40211037885652157,-213.88267405834566
101,RF,1.0,0.9993443482821925,0.9996720666360596,0.0,0.0006556517178075007,1.0,0.5058745436442085,33.99984881024819,7621,0,5,7439,1.0,1.0,0.9555092809364533
101,RuleCat80,1.0,0.3927353789666929,0.5639770266453253,0.0,0.6072646210333071,1.0,0.19880517756388982,13.361704131569784,2995,0,4631,7439,,,
102,IF,0.6835083114610674,0.8195646472593758,0.7453786523553966,0.38903078370748756,0.1804353527406242,0.6109692162925124,0.6069697975439761,40.84513333631125,6250,2894,1376,4545,0.763268518005118,0.7864207610481501,0.40449386958550093
102,IF_budget_top10pct,0.8078219824679703,0.15709415158667717,0.2630365572510704,0.038311601021642695,0.8429058484133228,0.9616883989783573,0.09844009293063392,6.624380220663778,1198,285,6428,7154,,,0.5501514007507743
102,IF_budget_top20pct,0.7456881974974636,0.28914240755310777,0.41670603798544836,0.10108885602903617,0.7108575924468922,0.8989111439709638,0.19628277464321275,13.208558538437487,2205,752,5421,6687,,,0.5098626126220582
102,OCSVM,0.5013072333579138,0.980592709152898,0.6634431974448831,1.0,0.01940729084710202,0.0,0.9901759044142051,66.63242060124179,7478,7439,148,0,0.49718523492907596,0.41221954297258934,-213.42698643710278
102,RF,1.0,0.9985575662208235,0.9992782625811955,0.0,0.0014424337791765014,1.0,0.5054762694988384,34.015276723098225,7615,0,11,7439,1.0,1.0,0.9525
102,RuleCat80,1.0,0.3852609493836874,0.5562287012495267,0.0,0.6147390506163126,1.0,0.19502157318287422,13.12368785455845,2938,0,4688,7439,,,
103,IF,0.6776781002638522,0.8419879360083924,0.7509502368282557,0.41053905094770804,0.15801206399160767,0.589460949052292,0.6289412545635579,42.32366998704605,6421,3054,1205,4385,0.7587223277069887,0.7861135592653274,0.4119345552994077
103,IF_budget_top10pct,0.7894736842105263,0.15932336742722267,0.265139116202946,0.04355424116144643,0.8406766325727774,0.9564457588385535,0.10215731828742118,6.874525394201992,1215,324,6411,7115,,,0.5541316918717278
103,IF_budget_top20pct,0.7091803278688524,0.2836349331235248,0.4052079430498314,0.11923645651297217,0.7163650668764752,0.8807635434870278,0.20245602389644873,13.623978201634877,2163,887,5463,6552,,,0.5187103723172986
103,OCSVM,0.5007047452849185,0.978232362968791,0.6623751387347392,1.0,0.02176763703120902,0.0,0.9889810819780949,66.55201679546165,7460,7439,166,0,0.4924845453182304,0.4074181699238429,-210.04243208972534
103,RF,1.0,0.9993443482821925,0.9996720666360596,0.0,0.0006556517178075007,1.0,0.5058745436442085,34.042077991691606,7621,0,5,7439,0.9999999828070875,0.9999999823725845,0.8762732023411332
103,RuleCat80,1.0,0.3948334644636769,0.5661370687223841,0.0,0.6051665355363232,1.0,0.19986724195154332,13.449769955777906,3011,0,4615,7439,,,
104,IF,0.6760502381983543,0.8187778651980068,0.7406001660538489,0.4022045973921226,0.18122213480199317,0.5977954026078774,0.6130766677729838,41.199802238570165,6244,2992,1382,4447,0.7553605748093095,0.7795539484758403,0.4048843630478195
104,IF_budget_top10pct,0.7856673241288626,0.15670076055599266,0.2612878539411829,0.043823094501949184,0.8432992394440073,0.9561769054980508,0.10096249585131098,6.784852664017456,1195,326,6431,7113,,,0.5511733952588125
104,IF_budget_top20pct,0.7293307086614174,0.2915027537372148,0.41652613827993257,0.11090200295738674,0.7084972462627852,0.8890979970426133,0.20232326584799204,13.596470032823936,2223,825,5403,6614,,,0.5096152055886255
104,OCSVM,0.5016747052518756,0.9820351429320745,0.6640950607431054,1.0,0.017964857067925517,0.0,0.9909060736807169,66.59058551509045,7489,7439,137,0,0.5044044222702535,0.42234064084891937,-213.94596560469472
104,RF,1.0,0.999737739312877,0.9998688524590164,0.0,0.00026226068712300026,1.0,0.5060736807168935,34.00901821858586,7624,0,2,7439,1.0,1.0,0.94
104,RuleCat80,1.0,0.4072908471020194,0.5788296682817742,0.0,0.5927091528979805,1.0,0.206173249253236,13.855195512451163,3106,0,4520,7439,,,
105,IF,0.6828797943004071,0.8358248098610018,0.7516509433962264,0.3979029439440785,0.16417519013899817,0.6020970560559215,0.6195818121473614,41.73557927579037,6374,2960,1252,4479,0.7572871577500354,0.7896644434617748,0.4056486719273008
105,IF_budget_top10pct,0.7886666666666666,0.15512719643325465,0.25925925925925924,0.042613254469686786,0.8448728035667453,0.9573867455303132,0.09956853634251576,6.707024738984954,1183,317,6443,7122,,,0.5513884362433201
105,IF_budget_top20pct,0.7296754767480763,0.2859952793076318,0.4109279321714555,0.10861674956311332,0.7140047206923682,0.8913832504368867,0.19840690341851974,13.364864629884018,2181,808,5445,6631,,,0.5146022853618023
105,OCSVM,0.5019416175682914,0.9830841856805664,0.6645687439056821,1.0,0.016915814319433516,0.0,0.9914371058745436,66.78408100098618,7497,7439,129,0,0.4969385827044662,0.4147270780757364,-211.26648235382257
105,RF,1.0,0.9985575662208235,0.9992782625811955,0.0,0.0014424337791765014,1.0,0.5054762694988384,34.04932892491362,7615,0,11,7439,1.0,1.0,0.9652546404682266
105,RuleCat80,1.0,0.3953579858379229,0.566676064279673,0.0,0.6046420141620771,1.0,0.20013275804845668,13.481119725359758,3015,0,4611,7439,,,
106,IF,0.68343163538874,0.8356936795174403,0.7519320394077046,0.3968275305820675,0.16430632048255966,0.6031724694179326,0.6189844009293063,41.67039056215926,6373,2952,1253,4487,0.7506632448914708,0.7860218261953054,0.4087767369712838
106,IF_budget_top10pct,0.7511864406779661,0.14529242066614215,0.2434897264036919,0.04933458798225568,0.8547075793338579,0.9506654120177443,0.09790906073680716,6.591295021896506,1108,367,6518,7072,,,0.5537126224130947
106,IF_budget_top20pct,0.7252820172528202,0.28665093102543926,0.41090225563909777,0.11130528296814088,0.7133490689745607,0.8886947170318591,0.20006637902422833,13.468585217624453,2186,828,5440,6611,,,0.5143573587195975
106,OCSVM,0.5014409221902018,0.981117230527144,0.6636803122366612,1.0,0.01888276947285602,0.0,0.9904414205111185,66.67709357404594,7482,7439,144,0,0.494635336287169,0.4090324710036949,-212.8558730256392
106,RF,1.0,0.998164175190139,0.9990812442577766,0.0,0.0018358248098610018,1.0,0.5052771324261534,34.015550987577086,7612,0,14,7439,1.0,1.0,0.9675
106,RuleCat80,1.0,0.38630999213217937,0.5573212258796821,0.0,0.6136900078678206,1.0,0.19555260537670097,13.164715345428545,2946,0,4680,7439,,,
107,IF,0.6862932314873753,0.8482821924993443,0.7587379779498006,0.39749966393332437,0.15171780750065564,0.6025003360666756,0.6256886823763691,42.159353650006395,6469,2957,1157,4482,0.7723883464061174,0.7975620896624127,0.40227217138425003
107,IF_budget_top10pct,0.8153214774281806,0.15630736952530816,0.2623239436619718,0.036295200967872025,0.8436926304746919,0.963704799032128,0.0970461334218387,6.539038302175828,1192,270,6434,7169,,,0.5519800108470785
107,IF_budget_top20pct,0.7418803418803419,0.2845528455284553,0.41133541844374943,0.10149213603979029,0.7154471544715447,0.8985078639602097,0.19415864586790574,13.082549270769013,2170,755,5456,6684,,,0.5159490445168048
107,OCSVM,0.5011734728089586,0.980068187778652,0.6632059984915036,1.0,0.01993181222134802,0.0,0.9899103883172917,66.70087428204386,7474,7439,152,0,0.5008815721377522,0.41960528902844635,-211.60878562005394
107,RF,1.0,0.999737739312877,0.9998688524590164,0.0,0.00026226068712300026,1.0,0.5060736807168935,34.09960876592921,7624,0,2,7439,1.0,1.0,0.9083103260869462
107,RuleCat80,1.0,0.39614476789929187,0.567483798253029,0.0,0.6038552321007081,1.0,0.20053103219382676,13.511925246835277,3021,0,4605,7439,,,
108,IF,0.7586618876941458,0.7494099134539732,0.7540075202849792,0.244387686517005,0.25059008654602677,0.7556123134829951,0.5000331895121142,33.64957725227629,5715,1818,1911,5621,0.7635859528358269,0.7946633581418053,0.4253173864661532
108,IF_budget_top10pct,0.7879746835443038,0.16325727773406767,0.2704757766673908,0.04503293453421159,0.8367427222659324,0.9549670654657885,0.10487885828078328,7.057789998486198,1245,335,6381,7104,,,0.5541177570978302
108,IF_budget_top20pct,0.7341191879502292,0.2939942302648833,0.4198501872659176,0.10915445624411883,0.7060057697351168,0.8908455437558812,0.2027215399933621,13.642082693276487,2242,812,5384,6627,,,0.5142193611350003
108,OCSVM,0.5001343905389061,0.9760031471282454,0.6613648480540253,1.0,0.023996852871754525,0.0,0.9878526385662131,66.4772346566276,7443,7439,183,0,0.489076861848511,0.4048517416256644,-213.43477727401066
108,RF,1.0,0.9985575662208235,0.9992782625811955,0.0,0.0014424337791765014,1.0,0.5054762694988384,34.01586761928633,7615,0,11,7439,1.0,1.0,0.9425
108,RuleCat80,1.0,0.4044059795436664,0.5759103641456582,0.0,0.5955940204563336,1.0,0.20471291072021242,13.776091364133821,3084,0,4542,7439,,,
109,IF,0.6880457044303115,0.8370049829530554,0.7552505472401349,0.38903078370748756,0.16299501704694466,0.6109692162925124,0.6157982077663459,41.43640033896328,6383,2894,1243,4545,0.7679992710685992,0.7901778066820384,0.40525413639462327
109,IF_budget_top10pct,0.8298727394507702,0.16247049567269867,0.2717403224037723,0.03414437424384998,0.8375295043273013,0.96585562575615,0.09910388317291736,6.668593910323615,1239,254,6387,7185,,,0.5516607536521075
109,IF_budget_top20pct,0.7212681638044914,0.2863886703383163,0.4099868593955322,0.11345610969216292,0.7136113296616837,0.8865438903078371,0.20099568536342516,13.524783898499603,2184,844,5442,6595,,,0.5157245583344358
109,OCSVM,0.5005035922916806,0.977445580907422,0.6620187397308939,1.0,0.022554419092578024,0.0,0.9885828078327249,66.52067589179478,7454,7439,172,0,0.4976198386425431,0.41647793874310957,-212.92061849302107
109,RF,1.0,0.999475478625754,0.9997376705141658,0.0,0.0005245213742460005,1.0,0.5059409226684368,34.044221556923375,7622,0,4,7439,1.0,1.0,0.9252546404682267
109,RuleCat80,1.0,0.38381851560451086,0.5547237752297924,0.0,0.6161814843954891,1.0,0.19429140391636243,13.07365999699747,2927,0,4699,7439,,,
110,IF,0.7511484446777792,0.7504589562024653,0.7508035421449656,0.2548729667966124,0.24954104379753475,0.7451270332033876,0.5057417855957518,33.98768292834042,5723,1896,1903,5543,0.7524457841825654,0.7869961463296883,0.4246811861189576
110,IF_budget_top10pct,0.7457741717376606,0.14463676894833463,0.24228445908841295,0.050544428014518084,0.8553632310516653,0.9494555719854819,0.09817457683372055,6.597687760994288,1103,376,6523,7063,,,0.5532923596260487
110,IF_budget_top20pct,0.7339419628301271,0.2951744033569368,0.4210230992237913,0.10969216292512435,0.7048255966430632,0.8903078370748757,0.20358446730833057,13.681614849877944,2251,816,5375,6623,,,0.5141732342797499
110,OCSVM,0.5004700510341122,0.9773144505638605,0.6619593214317435,1.0,0.022685549436139523,0.0,0.9885164288084966,66.43189055897696,7453,7439,173,0,0.48532709656925604,0.394888849803033,-210.95012520091697
110,RF,1.0,0.998688696564385,0.9993439181209814,0.0,0.0013113034356150013,1.0,0.5055426485230667,33.97430019454529,7616,0,10,7439,1.0,1.0,0.9480092809364533
110,RuleCat80,1.0,0.3965381589299764,0.5678873239436619,0.0,0.6034618410700237,1.0,0.20073016926651177,13.489795665481221,3024,0,4602,7439,,,
