seed,condition,target_prevalence,actual_prevalence,n_test,n_test_positive,threshold,precision,recall,f1,fpr,fnr,specificity,alert_rate,alerts_per_hour,tp,fp,fn,tn,ap,auc_roc
101,full,,0.5062064387653501,15065,7626,0.40602251085203767,0.6801428121390318,0.8493312352478364,0.7553793224094699,0.409463637585697,0.15066876475216365,0.590536362414303,0.6321274477265184,42.485311667759284,6477,3046,1149,4393,0.7563554350590875,0.7907890901951486
101,0.01,0.01,0.009981368112856001,7514,75,0.40602251085203767,0.020578778135048232,0.8533333333333334,0.040188383045525904,0.409463637585697,0.14666666666666667,0.590536362414303,0.41389406441309556,13.874809463026534,64,3046,11,4393,0.06637576811101754,0.803699421965318
101,0.02,0.02,0.020023712290870768,7591,152,0.40602251085203767,0.04334170854271357,0.9078947368421053,0.08273381294964029,0.409463637585697,0.09210526315789473,0.590536362414303,0.41944407851402976,14.204949623883113,138,3046,14,4393,0.09426456760439803,0.8145239173346728
101,0.05,0.05,0.050057463925424595,7831,392,0.40602251085203767,0.09453032104637336,0.8112244897959183,0.16932907348242812,0.409463637585697,0.18877551020408162,0.590536362414303,0.429574766951858,15.007993258399118,318,3046,74,4393,0.17726921592184117,0.768989138873724
101,0.10,0.1,0.10004839099927414,8266,827,0.40602251085203767,0.18859882791688865,0.8561064087061668,0.3091028159790439,0.409463637585697,0.14389359129383314,0.590536362414303,0.45414952818775706,16.747921133183794,708,3046,119,4393,0.2966579569005409,0.7955240307585126
102,full,,0.5062064387653501,15065,7626,0.40449386958550093,0.6835083114610674,0.8195646472593758,0.7453786523553966,0.38903078370748756,0.1804353527406242,0.6109692162925124,0.6069697975439761,40.84513333631125,6250,2894,1376,4545,0.763268518005118,0.7864207610481501
102,0.01,0.01,0.009981368112856001,7514,75,0.40449386958550093,0.02097428958051421,0.8266666666666667,0.04091059056417024,0.38903078370748756,0.17333333333333334,0.6109692162925124,0.3933989885546979,13.20409166033859,62,2894,13,4545,0.060733982107913635,0.7826105659362818
102,0.02,0.02,0.020023712290870768,7591,152,0.40449386958550093,0.041721854304635764,0.8289473684210527,0.07944514501891552,0.38903078370748756,0.17105263157894737,0.6109692162925124,0.39783954683177447,13.489971858667976,126,2894,26,4545,0.08103184517224925,0.7698155524582393
102,0.05,0.05,0.050057463925424595,7831,392,0.40449386958550093,0.09928415810768752,0.8137755102040817,0.1769764216366158,0.38903078370748756,0.18622448979591838,0.6109692162925124,0.41029242753160516,14.352079331755036,319,2894,73,4545,0.17314328467183351,0.7853653593444367
102,0.10,0.1,0.10004839099927414,8266,827,0.40449386958550093,0.18730693625386127,0.8065296251511487,0.3040109389243391,0.38903078370748756,0.19347037484885127,0.6109692162925124,0.4308008710379869,15.906552910171081,667,2894,160,4545,0.3023850482171475,0.78350105241291
103,full,,0.5062064387653501,15065,7626,0.4119345552994077,0.6776781002638522,0.8419879360083924,0.7509502368282557,0.41053905094770804,0.15801206399160767,0.589460949052292,0.6289412545635579,42.32366998704605,6421,3054,1205,4385,0.7587223277069887,0.7861135592653274
103,0.01,0.01,0.009981368112856001,7514,75,0.4119345552994077,0.02052597819114817,0.8533333333333334,0.04008769182586909,0.41053905094770804,0.14666666666666667,0.589460949052292,0.41495874367846686,13.927725912359852,64,3054,11,4385,0.06553551701741271,0.7769700228525339
103,0.02,0.02,0.020023712290870768,7591,152,0.4119345552994077,0.04022627278441232,0.8421052631578947,0.07678464307138572,0.41053905094770804,0.15789473684210525,0.589460949052292,0.4191806086154657,14.21360611068924,128,3054,24,4385,0.09191635503829475,0.782182806121366
103,0.05,0.05,0.050057463925424595,7831,392,0.4119345552994077,0.09884921805842431,0.8545918367346939,0.17720179846601428,0.41053905094770804,0.14540816326530612,0.589460949052292,0.4327672072532244,15.138249877160852,335,3054,57,4385,0.1899005119317825,0.8012968058577108
103,0.10,0.1,0.10004839099927414,8266,827,0.4119345552994077,0.1832040652580904,0.8282950423216445,0.30004380201489267,0.41053905094770804,0.1717049576783555,0.589460949052292,0.452334865714977,16.70165721177469,685,3054,142,4385,0.2817334481298545,0.7778767510618001
