seed,model,prevalence_target,precision,recall,f1,fpr,fnr,specificity,alert_rate,alerts_per_hour,tp,fp,fn,tn,ap,auc_roc,threshold
101,IF,0.01,0.08333333333333333,0.41333333333333333,0.13870246085011187,0.04583333333333333,0.5866666666666667,0.9541666666666667,0.04950099800399202,1.6619467313310219,31,341,44,7099,0.04933409810702069,0.7349032258064516,0.6105340756166617
102,IF,0.01,0.0960591133004926,0.52,0.16216216216216217,0.049327956989247315,0.48,0.9506720430107527,0.054025282767797736,1.8143944942511898,39,367,36,7073,0.07189087404656941,0.7560152329749104,0.6085386033916345
103,IF,0.01,0.0873015873015873,0.29333333333333333,0.1345565749235474,0.030913978494623656,0.7066666666666667,0.9690860215053764,0.033532934131736525,1.124096708002498,22,230,53,7210,0.07699222619490244,0.7602661290322581,0.626640045890735
104,IF,0.01,0.0684931506849315,0.26666666666666666,0.10899182561307902,0.03655913978494624,0.7333333333333333,0.9634408602150538,0.03885562208915502,1.3045631165556157,20,272,55,7168,0.051443126584567345,0.764483870967742,0.6163428385760776
105,IF,0.01,0.11377245508982035,0.25333333333333335,0.15702479338842976,0.01989247311827957,0.7466666666666667,0.9801075268817204,0.022222222222222223,0.7458686913800804,19,148,56,7292,0.0625370689570819,0.7244005376344087,0.626828333078959
