model,n_runs,alert_rate_mean,alert_rate_sd,alert_rate_ci_lo,alert_rate_ci_hi,alerts_per_hour_mean,alerts_per_hour_sd,alerts_per_hour_ci_lo,alerts_per_hour_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,auc_roc_mean,auc_roc_sd,auc_roc_ci_lo,auc_roc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,fnr_mean,fnr_sd,fnr_ci_lo,fnr_ci_hi,fpr_mean,fpr_sd,fpr_ci_lo,fpr_ci_hi,precision_mean,precision_sd,precision_ci_lo,precision_ci_hi,recall_mean,recall_sd,recall_ci_lo,recall_ci_hi,specificity_mean,specificity_sd,specificity_ci_lo,specificity_ci_hi
IF,10,0.5966943245934284,0.05001265654292547,0.5609174253495077,0.6324712238373491,40.14929012372228,3.3749310522876868,37.73500988829344,42.56357035915112,0.7598076612715119,0.006901465560748434,0.7548706502213118,0.764744672321712,0.7887963029457492,0.005023218193510764,0.7852029091208238,0.7923896967706746,0.7514690948070782,0.005218090226598059,0.7477362979275033,0.7552018916866532,0.18136637817991086,0.03761130012821735,0.15446087489065524,0.20827188146916648,0.36917596451135903,0.06345837639805045,0.32378057671332783,0.41457135230939024,0.6967840160041063,0.03089496500454636,0.6746830894283821,0.7188849425798306,0.8186336218200891,0.03761130012821734,0.7917281185308336,0.8455391251093447,0.630824035488641,0.06345837639805046,0.5854286476906098,0.6762194232866722
IF_budget_top19pct,10,0.2,0.003057761116835321,0.1978126094682633,0.20218739053173673,13.456857547521386,0.19829963370239434,13.315002535100925,13.598712559941847,,,,,,,,,0.41225035220571654,0.0065074857345330675,0.4075951773450127,0.41690552706642037,0.7124311565696302,0.005009720703521061,0.7088474182673822,0.7160148948718782,0.11022986960612986,0.005848547241657832,0.10604607094691425,0.11441366826534548,0.7279172255074207,0.01228412167825635,0.7191296942310961,0.7367047567837453,0.2875688434303698,0.005009720703521083,0.2839851051281218,0.2911525817326178,0.8897701303938701,0.005848547241657826,0.8855863317346545,0.8939539290530857
IF_budget_top9pct,10,0.09985396614669764,0.0023359905246016803,0.0981828991926418,0.10152503310075349,6.718626812620269,0.15593376096694472,6.607078519838587,6.830175105401952,,,,,,,,,0.25957952506244725,0.009921843515693793,0.25248186578353543,0.26667718434135906,0.8445974298452663,0.006263660935913583,0.8401166767381019,0.8490781829524308,0.042908993144239814,0.0053074612379030855,0.03911226409453423,0.0467057221939454,0.7878066251715952,0.026194502738892504,0.7690682067388609,0.8065450436043294,0.15540257015473383,0.006263660935913594,0.15092181704756935,0.1598833232618983,0.9570910068557602,0.005307461237903092,0.9532942778060546,0.9608877359054658
OCSVM,10,0.9896315964155328,0.0011479285811343354,0.9888104177774573,0.9904527750536083,66.58720226222829,0.11077010642035645,66.50796210162538,66.6664424228312,0.494872519602976,0.005741583147502958,0.490765238447205,0.49897980075874704,0.4103672100881558,0.008413873431865098,0.404348287622708,0.41638613255360357,0.6629561402933625,0.0010260554060256388,0.6622221444727535,0.6636901361139714,0.020482559664306323,0.0022677083759230156,0.018860338816862273,0.022104780511750372,1.0,0.0,1.0,1.0,0.5010323427717347,0.0005787702326857265,0.5006183154888127,0.5014463700546566,0.9795174403356934,0.0022677083759230178,0.9778952194882494,0.9811396611831374,0.0,0.0,0.0,0.0
RF,10,0.5057085960836376,0.00028891613800644287,0.5055019179290683,0.5059152742382069,34.026509979279886,0.03419289481208901,34.00204985584093,34.05097010271884,0.9999999982807088,5.4368763232461984e-09,0.9999999943914019,1.000000002170016,0.9999999982372584,5.574278232830823e-09,0.9999999942496599,1.0000000022248567,0.9995079458826662,0.0002856560487373887,0.9993035998554697,0.9997122919098628,0.000983477576711251,0.0005707476552670947,0.0005751892999493705,0.0013917658534731315,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9990165224232888,0.0005707476552671143,0.9986082341465269,0.9994248107000506,1.0,0.0,1.0,1.0
RuleCat80,10,0.19958181214736143,0.003915806106234447,0.19678061320682452,0.20238301108789833,13.42876647985934,0.2602759619560883,13.242576273015894,13.614956686702785,,,,,,,,,0.5655175016630507,0.007949648662409239,0.5598306655923558,0.5712043377337456,0.6057303960136375,0.007735591265463156,0.6001966873801221,0.611264104647153,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3942696039863624,0.007735591265463152,0.38873589535284697,0.39980331261987784,1.0,0.0,1.0,1.0
