nominal_injection_rate,seed,model,precision,recall,f1,fpr,fnr,alert_rate,tp,fp,fn,tn,ap,auc_roc,recall_delay,n_test_delay,recall_repeat,n_test_repeat,recall_volume,n_test_volume,recall_timestamp,n_test_timestamp
0.2,207,OCSVM,0.4336569579288026,0.950354609929078,0.5955555555555555,0.9615384615384616,0.04964539007092199,0.9566563467492261,134,175,7,7,0.5174938106740232,0.505767282363027,1.0,11,1.0,24,0.9292929292929293,99,1.0,7.0
0.2,207,RF,0.816793893129771,0.7588652482269503,0.7867647058823529,0.13186813186813187,0.24113475177304963,0.4055727554179567,107,24,34,158,0.8549020761697974,0.8537721144104123,1.0,11,0.3333333333333333,24,0.8787878787878788,99,0.14285714285714285,7.0
0.2,207,Rule60s,0.6,0.10638297872340426,0.18072289156626506,0.054945054945054944,0.8936170212765957,0.07739938080495357,15,10,126,172,,,1.0,11,0.08333333333333333,24,0.020202020202020204,99,0.0,7.0
0.2,208,IF,0.444794952681388,0.9657534246575342,0.6090712742980562,0.9832402234636871,0.03424657534246575,0.9753846153846154,141,176,5,3,0.49518745619240173,0.5089155888880386,1.0,10,1.0,14,0.9583333333333334,120,1.0,2.0
0.2,208,OCSVM,0.446875,0.9794520547945206,0.6137339055793991,0.9888268156424581,0.02054794520547945,0.9846153846153847,143,177,3,2,0.4914584724895941,0.4798346980944364,1.0,10,1.0,14,0.975,120,1.0,2.0
0.2,208,RF,0.7911392405063291,0.8561643835616438,0.8223684210526315,0.18435754189944134,0.14383561643835616,0.48615384615384616,125,33,21,146,0.8721300186522547,0.8929555368485497,1.0,10,0.35714285714285715,14,0.9166666666666666,120,0.0,2.0
0.2,208,Rule60s,0.6176470588235294,0.14383561643835616,0.23333333333333334,0.07262569832402235,0.8561643835616438,0.10461538461538461,21,13,125,166,,,1.0,10,0.07142857142857142,14,0.08333333333333333,120,0.0,2.0
0.2,209,IF,0.42857142857142855,0.9635036496350365,0.5932584269662922,0.9723756906077348,0.0364963503649635,0.9685534591194969,132,176,5,5,0.44589447754896083,0.43844013388716374,1.0,10,0.9629629629629629,27,0.9587628865979382,97,1.0,3.0
0.2,209,OCSVM,0.4364820846905538,0.9781021897810219,0.6036036036036037,0.9558011049723757,0.021897810218978103,0.9654088050314465,134,173,3,8,0.4566753222540957,0.45695043755292986,1.0,10,1.0,27,0.9690721649484536,97,1.0,3.0
0.2,209,RF,0.6404494382022472,0.8321167883211679,0.7238095238095238,0.35359116022099446,0.1678832116788321,0.559748427672956,114,64,23,117,0.8246067578303301,0.8484292454732428,1.0,10,0.25925925925925924,27,0.9896907216494846,97,0.3333333333333333,3.0
0.2,209,Rule60s,0.4864864864864865,0.13138686131386862,0.20689655172413793,0.10497237569060773,0.8686131386861314,0.11635220125786164,18,19,119,162,,,1.0,10,0.18518518518518517,27,0.030927835051546393,97,0.0,3.0
0.2,210,IF,0.4573170731707317,0.9933774834437086,0.6263048016701461,0.9726775956284153,0.006622516556291391,0.9820359281437125,150,178,1,5,0.4909338394593532,0.5524553975319364,1.0,8,1.0,30,0.9905660377358491,106,1.0,7.0
